"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"68",6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,"5"
"62",7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,"5"
"643",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,"5"
"487",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,"5"
"194",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"5"
"498",7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,"5"
"234",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,"5"
"1139",7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,"5"
"1503",7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,"5"
"486",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,"5"
"88",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,"5"
"6",7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,"5"
"265",12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,"5"
"714",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,"5"
"1565",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,"5"
"524",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,"5"
"371",6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,"5"
"89",9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,"5"
"259",7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,"5"
"688",9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,"5"
"166",7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,"5"
"780",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,"5"
"304",7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,"5"
"180",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,"5"
"1254",7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,"5"
"1304",8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,"5"
"824",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,"5"
"133",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,"5"
"177",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"5"
"49",6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,"5"
"458",9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,"5"
"853",8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,"5"
"1526",6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,"5"
"676",9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,"5"
"139",7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,"5"
"768",7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,"5"
"220",7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,"5"
"642",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,"5"
"1561",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,"5"
"956",8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,"5"
"1109",8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,"5"
"1497",7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,"5"
"820",9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,"5"
"724",7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,"5"
"395",12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,"5"
"758",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,"5"
"197",7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,"5"
"77",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,"5"
"189",7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,"5"
"61",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,"5"
"894",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,"5"
"338",7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,"5"
"3",7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,"5"
"779",8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,"5"
"728",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,"5"
"328",10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,"5"
"393",9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,"5"
"1362",8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,"5"
"1402",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,"5"
"264",7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,"5"
"1052",8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,"5"
"1376",7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,"5"
"527",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,"5"
"1311",7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,"5"
"673",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,"5"
"614",8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,"5"
"29",7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,"5"
"299",7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,"5"
"86",6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,"5"
"470",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,"5"
"776",7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,"5"
"1100",8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,"5"
"305",8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,"5"
"835",8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,"5"
"679",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,"5"
"1551",7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,"5"
"988",7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,"5"
"1395",6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,"5"
"890",10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,"5"
"1244",8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,"5"
"263",8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,"5"
"752",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,"5"
"844",7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,"5"
"1420",7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,"5"
"248",8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,"5"
"994",7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,"5"
"1013",7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,"5"
"1419",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,"5"
"1430",7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,"5"
"59",7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,"5"
"354",13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,"5"
"1187",6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,"5"
"142",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,"5"
"275",7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,"5"
"687",7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,"5"
"256",8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,"5"
"555",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,"5"
"1246",7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,"5"
"1448",6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,"5"
"1274",7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,"5"
"1192",6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"5"
"759",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,"5"
"1447",6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,"5"
"1552",7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,"5"
"184",6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,"5"
"1494",7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,"5"
"474",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,"5"
"1351",9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,"5"
"1389",6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,"5"
"115",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,"5"
"573",10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,"5"
"138",7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,"5"
"1595",6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,"5"
"1307",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,"5"
"1204",9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,"5"
"1182",9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,"5"
"980",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,"5"
"672",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,"5"
"880",7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,"5"
"736",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,"5"
"1184",6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,"5"
"202",8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,"5"
"1160",10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,"5"
"1584",6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,"5"
"416",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,"5"
"1070",8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,"5"
"1557",6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,"5"
"863",7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,"5"
"1354",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,"5"
"1573",7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,"5"
"1466",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,"5"
"627",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,"5"
"146",8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,"5"
"31",6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,"5"
"689",7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,"5"
"315",7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,"5"
"1386",8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,"5"
"836",7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,"5"
"170",7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,"5"
"462",8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,"5"
"1306",7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,"5"
"647",7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,"5"
"1309",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,"5"
"740",9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,"5"
"405",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,"5"
"66",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,"5"
"1329",6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,"5"
"764",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,"5"
"253",11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,"5"
"261",7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,"5"
"208",7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,"5"
"330",10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,"5"
"1313",8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,"5"
"257",9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,"5"
"1253",7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,"5"
"35",5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,"5"
"579",8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,"5"
"735",7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,"5"
"123",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,"5"
"657",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,"5"
"842",6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,"5"
"692",9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,"5"
"1417",10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,"5"
"479",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,"5"
"892",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,"5"
"209",7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,"5"
"826",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,"5"
"711",10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,"5"
"90",7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,"5"
"364",12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,"5"
"247",7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,"5"
"1167",9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,"5"
"1165",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,"5"
"761",9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,"5"
"636",8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,"5"
"58",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,"5"
"656",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,"5"
"537",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,"5"
"712",8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,"5"
"79",6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,"5"
"1480",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,"5"
"719",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,"5"
"181",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,"5"
"726",9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,"5"
"1248",7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,"5"
"1153",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,"5"
"989",7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,"5"
"623",10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,"5"
"1241",7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,"5"
"872",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,"5"
"1166",8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,"5"
"241",8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,"5"
"1438",6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,"5"
"1356",6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,"5"
"532",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,"5"
"204",7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,"5"
"1075",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,"5"
"802",8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,"5"
"22",7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,"5"
"619",11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,"5"
"1539",6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,"5"
"734",7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,"5"
"216",7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,"5"
"929",8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,"5"
"742",9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,"5"
"144",6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,"5"
"1120",5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,"5"
"563",9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,"5"
"974",8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,"5"
"464",8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,"5"
"653",15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,"5"
"81",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,"5"
"93",8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,"5"
"1226",9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,"5"
"1005",8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,"5"
"561",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,"5"
"1486",7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,"5"
"1242",9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,"5"
"175",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"5"
"715",9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,"5"
"300",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,"5"
"110",8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,"5"
"612",13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,"5"
"317",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,"5"
"1335",7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,"5"
"678",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,"5"
"582",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,"5"
"476",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,"5"
"425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"5"
"1416",6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,"5"
"471",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,"5"
"751",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,"5"
"72",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,"5"
"429",9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,"5"
"796",10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,"5"
"762",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,"5"
"5",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,"5"
"98",7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,"5"
"82",7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,"5"
"940",6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,"5"
"154",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,"5"
"413",7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,"5"
"1492",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,"5"
"191",8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,"5"
"285",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,"5"
"520",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,"5"
"1164",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,"5"
"415",8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,"5"
"581",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,"5"
"784",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,"5"
"40",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,"5"
"1028",6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,"5"
"1484",8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,"5"
"1230",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,"5"
"1290",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,"5"
"466",10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,"5"
"1493",6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,"5"
"611",8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,"5"
"157",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"5"
"669",10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,"5"
"56",7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,"5"
"594",9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,"5"
"112",8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,"5"
"840",6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,"5"
"641",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,"5"
"637",9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,"5"
"1517",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,"5"
"126",9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,"5"
"821",7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,"5"
"1129",10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,"5"
"630",7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,"5"
"196",7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,"5"
"385",7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,"5"
"1288",8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,"5"
"720",7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,"5"
"23",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,"5"
"616",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,"5"
"1053",5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,"5"
"1563",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,"5"
"1472",6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,"5"
"214",8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,"5"
"28",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,"5"
"1078",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,"5"
"786",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,"5"
"156",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,"5"
"595",7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,"5"
"1098",8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,"5"
"1502",7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,"5"
"1347",6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,"5"
"1348",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,"5"
"731",9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,"5"
"562",9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,"5"
"186",8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,"5"
